Frage,Antwort ,Score,Similarty score,Anmerkuren
"Ich habe ein durchlaufendes Deckenfeld, bei dem ich keine Auflage verwenden kann, welche Variante des Isokorbs ist geeignet? ","Aus den Informationen in der Technischen Information Schöck Isokorb® XT für Balkone und Laubengänge aus Stahlbeton geht hervor, dass der Schöck Isokorb® XT Typ D für durchlaufende Deckenfelder ohne Auflage geeignet ist. Auf Seite 197 heißt es: ""Schöck Isokorb® XT Typ D Tragendes Wärmedämmelement für durchlaufende Deckenfelder. Das Element überträgt Momente und Querkräfte."" Daher ist der Schöck Isokorb® XT Typ D die geeignete Variante für Ihr durchlaufendes Deckenfeld, bei dem Sie keine Auflage verwenden können.",1,0.88,
Welche Betongüte ist der Isokorb geeignet? ,"Laut den Informationen in dem Dokument ist der Schöck Isokorb® XT für folgende Betonfestigkeitsklassen geeignet: - Betonfestigkeitsklasse C25/30 (Seite 29, 82, 84, 85, 99, 138, 147, 155, 175) - Betonfestigkeitsklasse C20/25 ist ebenfalls möglich, allerdings sind die Bemessungswerte für C25/30 maßgebend (Seite 175) Die indikative Mindestfestigkeitsklasse für den Einsatz des Schöck Isokorb® XT beträgt C20/25 für Innenbauteile und C25/30 für Außenbauteile (Seite 29).",1,0.95,
Maximal abstand zwischen 2 Elementen Isokorb Typ H? ,"Laut den Informationen auf Seite 185 der Technischen Information Schöck Isokorb® XT gilt Folgendes: ""Es dürfen maximal drei Schöck Isokorb® XT Typ H-VV-NN an einen Balkon angeschlossen werden. Zwischen zwei dieser Elemente muss ein anderer Schöck Isokorb® Typ mit einer Anschlusslänge von einem Meter angeordnet werden."" Somit beträgt der maximale Abstand zwischen zwei Elementen des Schöck Isokorb® XT Typ H-VV-NN 1 Meter.",1,0.95,
"Der Schöck Isokorb XT Typ K kann gemäß der technischen Dokumentation nur Biegemomente und Querkräfte in vertikaler Richtung, aber keine Horizontalkräfte in paralleler Richtung aufnehmen. Somit muss bei frei auskragenden Balkonen, zwingend ein zusätzlicher Isokorb Typ H-VV-NN zur Aussteifung des Balkons verbaut werden. Ist dies korrekt ? Vielen Dank für eine schriftliche Antwort.","Laut den technischen Informationen zu den Schöck Isokorb XT Produkten ist Folgendes korrekt: Der Schöck Isokorb XT Typ K kann laut S. 31 der Dokumentation ""negative Momente und positive Querkräfte"" übertragen. Das Element kann jedoch keine planmäßigen Horizontalkräfte parallel zur Dämmebene aufnehmen. Auf S. 179 ist beschrieben, dass der Schöck Isokorb XT Typ H ""tragendes Wärmedämmelement zur Übertragung von planmäßigen Horizontalkräften parallel und senkrecht zur Dämmebene"" ist. Daher ist Ihre Schlussfolgerung korrekt: Bei frei auskragenden Balkonen muss zusätzlich zum Schöck Isokorb XT Typ K ein Typ H-VV-NN verbaut werden, um die planmäßigen Horizontalkräfte aufnehmen zu können.",1,0.98,
Gibt es auch Sondertypen mit anderen Stablängen,"Ja, es gibt Sondertypen mit anderen Stabmindest- und Stabmindestlängen als in der Technischen Information aufgeführt. Laut Seite 34 der Technischen Information heißt es dazu: ""Gemäß Zulassung sind Höhen bis 500 mm möglich. Dies gilt auch bei zusätzlichen Anforderungen infolge Fertigteilbauweise. Für fertigungs- oder transportbedingte Zusatzanforderungen stehen Lösungen mit Schraubmuffenstäben zur Verfügung."" Das bedeutet, dass für Sonderanforderungen, z.B. im Fertigteilbau, auch Lösungen mit anderen Einbindelängen (Stabmindestlängen) über Schraubmuffenstäbe angeboten werden können. Diese Sondervarianten müssen dann aber individuell bei der Anwendungstechnik von Schöck angefragt werden.",1,0.96,
welche Randabstände sind beim XT-K einzuhalten?,Laut den Informationen auf Seite 45 der technischen Dokumentation müssen beim Schöck Isokorb® XT Typ K folgende Randabstände eingehalten werden: - Für den Achsabstand der Zugstäbe vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 50 mm und eR ≤ 150 mm. - Für den Achsabstand der Druckelemente vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 50 mm und eR ≤ 150 mm. - Für den Achsabstand der Querkraftstäbe vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 100 mm und eR ≤ 150 mm.,1,0.87,
welche Randabstände sind beim XT-D einzuhalten?,Laut den Informationen auf Seite 214 der technischen Dokumentation müssen beim Schöck Isokorb® XT Typ D folgende Randabstände eingehalten werden: - Für den Achsabstand der Zugstäbe vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 50 mm und eR ≤ 150 mm. - Für den Achsabstand der Druckstäbe vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 50 mm und eR ≤ 150 mm.,1,0.85,
dehnfuge Isokorb Typ T-D,"Aus den technischen Informationen zu den Schöck Isokorb® T Produkten geht Folgendes hervor: Seitenzahl 214: Bei Verwendung des Schöck Isokorb® T Typ D gilt: - Wenn die Bauteillänge den maximalen Dehnfugenabstand e übersteigt, müssen in die außenliegenden Betonbauteile rechtwinklig zur Dämmebene Dehnfugen eingebaut werden, um die Einwirkung infolge von Temperaturänderungen zu begrenzen. - Bei Fixpunkten wie z.B. Ecken von Balkonen oder beim Einsatz der Schöck Isokorb® T Typen H gilt der halbe maximale Dehnfugenabstand e/2. Seitenzahl 214: Für den Schöck Isokorb® T Typ D 6.0 gelten folgende maximale Dehnfugenabstände e: - MM1, VV1-VV3: 11,0 m - MM2, VV1-VV2: 10,6 m - MM2, VV3: 10,6 m - MM3-MM5, VV3-VV4: 9,5 m - MM3-MM5, VV5: 10,1 m - MM6, VV1-VV4: 9,5 m - MM6, VV5: 10,1 m Die genauen Werte sind abhängig von der verwendeten Dämmkörperdicke von 80 mm.",1,0.96,
isokorb bei erdbeben geeignet?,"Zusammenfassend lässt sich sagen, dass der Schöck Isokorb für den Erdbebennachweis von Stahlbetonbalkonen geeignet ist. Aus den technischen Informationen im Bemessungshandbuch geht Folgendes hervor: 1. Das Bemessungshandbuch beschreibt zwei Verfahren zur Ermittlung der Erdbebenersatzlasten für Balkone: - Vereinfachtes Verfahren für Balkone ohne Sicherheitsanforderungen (RC II) - Detailliertes Verfahren für Balkone mit Sicherheitsanforderungen (RC I) 2. Bei Anwendung des vereinfachten Verfahrens (RC II) kann der Schöck Isokorb verwendet werden, um die horizontalen und vertikalen Erdbebenlasten aufzunehmen. - Seite 15-16: Formeln zur Ermittlung der horizontalen und vertikalen Erdbebenersatzlasten - Seite 18-21: Beispiele zur Bemessung unter Verwendung des Schöck Isokorb XT Typ K und Typ H 3. Auch im detaillierten Verfahren (RC I) ist der Schöck Isokorb einsetzbar. Hier muss jedoch eine detaillierte Berechnung der Etagenbeschleunigungen erfolgen. - Seite 11: Beschreibung des detaillierten Verfahrens 4. Die Verwendung des Schöck Isokorb ermöglicht es, die aus den Erdbebenlasten resultierenden Schnittgrößen aufzunehmen, sowohl über elastische als auch plastische Tragreserven. - Seite 15-17, 19-21, 24: Beschreibung der Tragreserven und Nachweisführung Somit ist der Schöck Isokorb nach den Angaben im Bemessungshandbuch für den Einsatz im Erdbebennachweis von Stahlbetonbalkonen geeignet.",1,0.88,
Welche minimale Wandstärke ist beim XT-K-O notwendig,"Laut den Informationen auf Seite 75 der Technischen Information Schöck Isokorb® XT für Balkone und Laubengänge aus Stahlbeton benötigt der Einsatz der Schöck Isokorb® XT Typen K-U und K-O eine Mindestwanddicke von 175 mm. Zitat: ""Der Einsatz der Schöck Isokorb® XT Typen K-U und K-O erfordert eine Mindestwanddicke und eine Mindestunterzugbreite von 175 mm.""",1,0.51,
Gibt es auch Körbe mit Brandschutz F30,"Gemäß den bereitgestellten Dokumenten gibt es keine Informationen zu Schöck Isokorb®-Produkten mit einer Feuerwiderstandsklasse von F30. Laut den Unterlagen sind folgende Feuerwiderstandsklassen für Schöck Isokorb®-Produkte mit Druckelementen aus Beton oder Stahl angegeben: - Feuerwiderstandsklasse REI 120 (Seite C12) - Feuerwiderstandsklasse REI 60 (Seite C12) Es wird nicht erwähnt, dass es Schöck Isokorb®-Produkte mit einer Feuerwiderstandsklasse von F30 gibt. Die Informationen beschränken sich auf die oben genannten REI-Klassen.",1,0.57,
Kann ein Isokorb im Brandriegel eingesetzt werden?,"Laut den Informationen in den Dokumenten kann ein Schöck Isokorb® mit der Feuerwiderstandsklasse REI 120 den Brandriegel linear unterbrechen, da der Stahlbetonbalkon die Aufgabe einer Brandsperre übernimmt (S. 21 in beiden Dokumenten).",1,0.59,
Senkfederwerte für den Isokorb,"Laut den technischen Informationen zu den Schöck Isokorb Produkten werden für die FEM-Berechnung folgende Werte für die Federsteifigkeiten angesetzt: - Drehfeder: 10.000 kNm/rad/m - Senkfeder: 250.000 kN/m² Diese Werte sind für den Schöck Isokorb Typ K und den Schöck Isokorb Typ XT angegeben (siehe Seite 26 in den technischen Informationen). Die Dokumentstellen, aus denen diese Informationen entnommen wurden, sind: Schöck Isokorb T für Balkone und Laubengänge aus Stahlbeton/DE/2024.2/Februar, Seite 26 Schöck Isokorb XT für Balkone und Laubengänge aus Stahlbeton/DE/2024.1/Februar, Seite 26",1,0.95,
darf ich das Element H alleine verwenden,"Aus den Dokumenten geht hervor, dass der Schöck Isokorb® XT Typ H nicht alleine verwendet werden darf: ""Es dürfen maximal drei Schöck Isokorb® XT Typ H-VV-NN an einen Balkon angeschlossen werden. Zwischen zwei dieser Elemente muss ein anderer Schöck Isokorb® Typ mit einer Anschlusslänge von einem Meter angeordnet werden."" (Seite 185 der Technischen Information Schöck Isokorb® XT) Demnach muss der Schöck Isokorb® XT Typ H immer in Kombination mit anderen Isokorb-Typen, wie z.B. Typ K oder Typ Q, verwendet werden. Eine alleinige Verwendung des Typs H ist nicht zulässig.",1,0.38,
In welchen Längen erhalte ich den Typ D,"Laut der technischen Information ist der Schöck Isokorb® T Typ D-MM1 bis MM6 Generation 6.0 nur in der Länge L = 500 mm erhältlich. Konkret steht auf Seite 204: ""Der Schöck Isokorb® T Typ D-MM1 bis MM5 Generation 5.0 mit Länge L1000 wurde durch den Schöck Isokorb® T Typ D-MM1 bis MM6 Generation 6.0 mit Länge L500 ersetzt."" Somit ist der Schöck Isokorb® T Typ D-MM1 bis MM6 in der Länge 500 mm verfügbar.",1,0.84,
darf man Biegen die Betonstählen von Isokorb?,"Laut den Informationen in den technischen Unterlagen sollte man Vorsicht walten lassen, wenn die originalen Schöck Isokorb®-Betonstähle bauseitig gebogen oder hin- und zurückgebogen werden: - Bei der Produktion des Schöck Isokorb® im Werk wird durch Überwachung sichergestellt, dass die Bedingungen der bauaufsichtlichen Zulassung und der DIN EN 1992-1-1 (EC2) und DIN EN 1992-1-1/NA bezüglich Biegen von Betonstählen eingehalten werden. (Seite 30) - Werden jedoch original Schöck Isokorb® Betonstähle bauseitig gebogen oder hin- und zurückgebogen, liegt die Einhaltung und Überwachung der betreffenden Bedingungen (Europäische Technische Bewertung (ETA), DIN EN 1992-1-1 (EC2) und DIN EN 1992-1-1/NA) außerhalb des Einflusses der Schöck Bauteile GmbH. Daher erlischt in solchen Fällen die Gewährleistung. (Seite 30) Zusammenfassend ist das Biegen der originalen Schöck Isokorb®-Betonstähle bauseitig also nicht empfohlen, da dann die Zulassungs- und Normbedingungen nicht mehr eingehalten werden können und die Gewährleistung erlischt.",1,0.95,
Welchen ist die Dämmstoff Material Schöck Isokorb®?,"Laut den technischen Informationen der Schöck Bauteile GmbH ist der Dämmstoff für den Schöck Isokorb® Neopor® - Polystyrol-Hartschaum (EPS) nach DIN EN 13163, Klasse E nach DIN EN 13501-1, eingetragene Marke der BASF, mit einer Wärmeleitfähigkeit λ = 0,032 W/(m·K). Diesen Informationen entnehme ich der Seite 30 der Technischen Information ""Schöck Isokorb® für Balkone und Laubengänge aus Stahlbeton"".",1,0.89,
Ich habe einen Balkon mit Stützen. Welchen Isokorb sollte ich verwenden?,"Basierend auf den Informationen in den Dokumenten empfiehlt sich für einen Balkon mit Stützenlagerung der Einsatz von Schöck Isokorb® XT Typ Q oder Typ Q-Z. Laut Seite 126 der technischen Information ist der Schöck Isokorb® XT Typ Q ein tragendes Wärmedämmelement für gestützte Balkone. Es überträgt positive Querkräfte. Das Element Typ Q-Z überträgt ebenfalls positive Querkräfte, ist aber für den zwängungsfreien Anschluss konzipiert. Die Abbildungen 133 und 134 auf Seite 126 zeigen konkrete Anwendungsfälle für den Einsatz von Schöck Isokorb® XT Typ Q und Q-P/Q-VV bei Balkonen mit Stützenlagerung. Zusammengefasst empfehle ich daher für einen Balkon mit Stützenlagerung den Einsatz von Schöck Isokorb® XT Typ Q oder Typ Q-Z.",1,0.97,
Welchen sind die Berücksichtigung der Federwerte im Isokorb?,"Laut den Informationen in den Dokumenten werden die Federwerte für die FEM-Berechnung des Isokorb wie folgt berücksichtigt: - Schöck Isokorb T Typ K und XT Typ K: Die Federsteifigkeiten werden mit 10.000 kNm/rad/m (Drehfeder) und 250.000 kN/m² (Senkfeder) näherungsweise angenommen. (Seite 26) - Diese Federwerte werden verwendet, um die Schnittgrößen am Balkonplattenauflager unter Berücksichtigung der Federwerte zu ermitteln. Diese Schnittgrößen werden dann als äußere Randlasten auf die Tragstruktur des Gebäudes angesetzt. (Seite 26) - Es wird darauf hingewiesen, dass in dieser Technischen Information die für die FEM-Berechnung relevanten Parameter wie die angesetzte Auskragungslänge und die Federsteifigkeiten näherungsweise, vereinfacht dargestellt sind. Für die genauen Parameter bzw. Bemessungswerte sind die Typenprüfung und die Schöck Isokorb Software anzuwenden. (Seite 26) Zusammengefasst werden die Federwerte des Isokorb näherungsweise mit 10.000 kNm/rad/m (Drehfeder) und 250.000 kN/m² (Senkfeder) in der FEM-Berechnung berücksichtigt, um die Schnittgrößen für die Tragwerksplanung zu ermitteln.",1,0.97,
Kann der Isokorb Strom ableiten,"Laut den technischen Informationen zu den Schöck Isokorb® Produkten ist dies nicht deren vorgesehene Funktion. Die Isokorb-Elemente dienen zur Übertragung von Kräften und zur Vermeidung von Wärmebrücken, sie sind nicht für den Stromableiter konzipiert. In den Dokumenten finden sich keine Informationen dazu, dass die Isokorb-Produkte zum Ableiten von Strom verwendet werden können. Die Produkte sind ausschließlich für ihre angegebenen Anwendungen, wie Lasten- und Wärmeübertragung, ausgelegt.",1,0.43,
Welche Elementhöhen sind maximal zugelassen,Laut Anhang A der technischen Dokumentation sind folgende Elementhöhen für den Schöck Isokorb mit Druckelementen aus Beton oder Stahl zugelassen: - Elementhöhe: 160 mm ≤ H ≤ 500 mm (Seite A6),1,0.9,
weclhe Neigung haben die Querkraftstäbe im Dämmkörper,"Aus den Dokumenten geht hervor, dass die Neigung der Querkraftstäbe im Dämmkörper wie folgt angegeben ist: - Bei einer Dämmstoffstärke von 60 mm oder 80 mm beträgt die Neigung in der Dämmfuge in der Regel α = 45° (Seite A6). - Bei einer Dämmstoffstärke von 120 mm beträgt die Neigung in der Dämmfuge in der Regel α = 35° (Seite A6). Somit ist die Neigung der Querkraftstäbe im Dämmkörper abhängig von der Dämmstoffstärke, entweder 45° oder 35°.",1,0.88,
darf man Mischen von Stahlstab- und Mattenbewehrung bei de Bauseitigebewehrung?,"Laut den Informationen in den Dokumenten ist das Mischen von Stahlstab- und Mattenbewehrung möglich. Die entsprechende Mattenbewehrung kann bei der Ermittlung der Zulagebewehrung angerechnet werden. Konkret steht auf Seite 53: ""Das Mischen von Stahlstab- und Mattenbewehrung ist möglich. Die entsprechende Mattenbewehrung kann bei der Ermittlung der Zulagebewehrung angerechnet werden."" Und auf Seite 64: ""Das Mischen von Stahlstab- und Mattenbewehrung ist möglich. Die entsprechende Mattenbewehrung kann bei der Ermittlung der Zulagebewehrung angerechnet werden.""",1,0.88,
Gibt es auch Dämmdicken 10cm?,Laut den Tabellen C.18 bis C.32 in den bereitgestellten Dokumenten sind für den Schöck Isokorb® Typ K und Typ Q Dämmstoffstärken von 80 mm und 120 mm angegeben. Eine Dämmstoffstärke von 100 mm (10 cm) ist in den Dokumenten nicht enthalten.,1,0.42,
