Frage,Antwort,Score,Similarty score,Anmerkuren,generated_answer,Eva_Score
"Ich habe ein durchlaufendes Deckenfeld, bei dem ich keine Auflage verwenden kann, welche Variante des Isokorbs ist geeignet? ","Aus den Informationen in der Technischen Information Schöck Isokorb® XT für Balkone und Laubengänge aus Stahlbeton geht hervor, dass der Schöck Isokorb® XT Typ D für durchlaufende Deckenfelder ohne Auflage geeignet ist. Auf Seite 197 heißt es: ""Schöck Isokorb® XT Typ D Tragendes Wärmedämmelement für durchlaufende Deckenfelder. Das Element überträgt Momente und Querkräfte."" Daher ist der Schöck Isokorb® XT Typ D die geeignete Variante für Ihr durchlaufendes Deckenfeld, bei dem Sie keine Auflage verwenden können.",1,0.88,,"Für ein durchlaufendes Deckenfeld, bei dem keine Auflage verwendet werden kann, ist der Schock Isokorb XT Typ Q-P geeignet. Dieser Typ ist für punktuelle Anschlüsse konzipiert und kann ohne Auflage verwendet werden. [Page 145] Die Variante Q-P ist speziell für solche Anwendungsfälle entwickelt worden, um eine zuverlässige und sichere Verbindung zwischen dem Deckenfeld und dem Balkon zu gewährleisten. Es ist jedoch wichtig, die spezifischen Anforderungen und Bedingungen des Bauprojekts zu berücksichtigen und gegebenenfalls weitere Informationen oder Beratung einzuholen, um die am besten geeignete Lösung zu finden. [Page 167]",0
Welche Betongüte ist der Isokorb geeignet?,"Laut den Informationen in dem Dokument ist der Schöck Isokorb® XT für folgende Betonfestigkeitsklassen geeignet: - Betonfestigkeitsklasse C25/30 (Seite 29, 82, 84, 85, 99, 138, 147, 155, 175) - Betonfestigkeitsklasse C20/25 ist ebenfalls möglich, allerdings sind die Bemessungswerte für C25/30 maßgebend (Seite 175) Die indikative Mindestfestigkeitsklasse für den Einsatz des Schöck Isokorb® XT beträgt C20/25 für Innenbauteile und C25/30 für Außenbauteile (Seite 29).",1,0.95,,"Der Isokorb ist für verschiedene Betongüten geeignet, jedoch sind die Bemessungstabellen auf der Betonfestigkeitsklasse C25/30 ausgerichtet. Für die Betonfestigkeitsklasse C20/25 können die Bemessungswerte unter www.schoeck.com/download-technische-informationen/de gefunden werden [page_num:24]. Bei unterschiedlichen Betonfestigkeitsklassen, wie z.B. Balkon C25/30 und Decke C20/25, ist für die Bemessung des Schock Isokorbo grundsätzlich der schwachere Beton maßgebend [page_num:24].",1
Maximal abstand zwischen 2 Elementen Isokorb Typ H?,"Laut den Informationen auf Seite 185 der Technischen Information Schöck Isokorb® XT gilt Folgendes: ""Es dürfen maximal drei Schöck Isokorb® XT Typ H-VV-NN an einen Balkon angeschlossen werden. Zwischen zwei dieser Elemente muss ein anderer Schöck Isokorb® Typ mit einer Anschlusslänge von einem Meter angeordnet werden."" Somit beträgt der maximale Abstand zwischen zwei Elementen des Schöck Isokorb® XT Typ H-VV-NN 1 Meter.",1,0.95,,"Der maximale Abstand zwischen zwei Elementen Isokorb Typ H ist nicht direkt angegeben, aber es gibt Hinweise auf die Dehnfugenabstände. Zwischen zwei Schock Isokorbo XT Typ H-NN-Elementen, die am Rand der Dehnfuge angeordnet sind, müssen bestimmte Abstände eingehalten werden. Für XT Typ H-NN1 beträgt der zulässige Dehnfugenabstand 21,7 m und für XT Typ H-NN2 19,8 m [page_num:185]. Es ist auch erwähnt, dass bei der Bestimmung der maximalen Dehnfugenabstände die in Kombination verwendeten Schock Isokorbo Typen zu berücksichtigen sind. Darüber hinaus dürfen maximal drei Schock Isokorbo XT Typ H-VV-NN an einen Balkon angeschlossen werden, und zwischen zwei dieser Elemente muss ein anderer Schock Isokorbo Typ mit einer Anschlusslänge von einem Meter angeordnet werden [page_num:185].",1
"Der Schöck Isokorb XT Typ K kann gemäß der technischen Dokumentation nur Biegemomente und Querkräfte in vertikaler Richtung, aber keine Horizontalkräfte in paralleler Richtung aufnehmen. Somit muss bei frei auskragenden Balkonen, zwingend ein zusätzlicher Isokorb Typ H-VV-NN zur Aussteifung des Balkons verbaut werden. Ist dies korrekt ? Vielen Dank für eine schriftliche Antwort.","Laut den technischen Informationen zu den Schöck Isokorb XT Produkten ist Folgendes korrekt: Der Schöck Isokorb XT Typ K kann laut S. 31 der Dokumentation ""negative Momente und positive Querkräfte"" übertragen. Das Element kann jedoch keine planmäßigen Horizontalkräfte parallel zur Dämmebene aufnehmen. Auf S. 179 ist beschrieben, dass der Schöck Isokorb XT Typ H ""tragendes Wärmedämmelement zur Übertragung von planmäßigen Horizontalkräften parallel und senkrecht zur Dämmebene"" ist. Daher ist Ihre Schlussfolgerung korrekt: Bei frei auskragenden Balkonen muss zusätzlich zum Schöck Isokorb XT Typ K ein Typ H-VV-NN verbaut werden, um die planmäßigen Horizontalkräfte aufnehmen zu können.",1,0.98,,"Entschuldigung, ich kann diese Anfrage nicht direkt beantworten, da die genaue Aussage über die Fähigkeit des Schöck Isokorb XT Typ K, Horizontalkräfte in paralleler Richtung aufzunehmen, nicht explizit in den bereitgestellten Seiten erwähnt wird. Allerdings wird auf [Page 31] erwähnt, dass der Schöck Isokorbo XT Typ K ein tragendes Warmedämmelement für frei auskragende Balkone ist, das negative Momente und positive Querkräfte überträgt, und ein Element mit der Tragstufe VV überträgt zusätzlich negative Querkräfte. Es wird auch auf [Page 185] erwähnt, dass der Schöck Isokorb XT Typ H für die Übertragung von Horizontalkräften verwendet wird und bei bestimmten Anordnungen von Schöck Isokorb XT Typ H-VV-NN bestimmte Dehnfugenabstände einzuhalten sind. Dies deutet darauf hin, dass für bestimmte Anwendungen, insbesondere bei frei auskragenden Balkonen, der Einsatz von zusätzlichen Elementen wie dem Schöck Isokorb XT Typ H zur Aufnahme von Horizontalkräften erforderlich sein kann. [Page 31][Page 185]",1
Gibt es auch Sondertypen mit anderen Stablängen,"Ja, es gibt Sondertypen mit anderen Stabmindest- und Stabmindestlängen als in der Technischen Information aufgeführt. Laut Seite 34 der Technischen Information heißt es dazu: ""Gemäß Zulassung sind Höhen bis 500 mm möglich. Dies gilt auch bei zusätzlichen Anforderungen infolge Fertigteilbauweise. Für fertigungs- oder transportbedingte Zusatzanforderungen stehen Lösungen mit Schraubmuffenstäben zur Verfügung."" Das bedeutet, dass für Sonderanforderungen, z.B. im Fertigteilbau, auch Lösungen mit anderen Einbindelängen (Stabmindestlängen) über Schraubmuffenstäbe angeboten werden können. Diese Sondervarianten müssen dann aber individuell bei der Anwendungstechnik von Schöck angefragt werden.",1,0.96,,"Ja, es gibt auch Sondertypen mit anderen Stablängen. Laut [Page 77] können Anschlusssituationen, die mit den in dieser Technischen Information dargestellten Standard-Produktvarianten nicht realisierbar sind, bei der Anwendungs-technik angefragt werden. Dies deutet darauf hin, dass es auch Sondertypen mit anderen Stablängen geben kann, wenn diese speziell angefragt werden. [Page 77] erwähnt auch, dass die Einbindelänge von der Isokorb-Höhe abhängt, was darauf schließen lässt, dass es verschiedene Stablängen für unterschiedliche Anwendungen geben kann.",1
welche Randabstände sind beim XT-K einzuhalten?,Laut den Informationen auf Seite 45 der technischen Dokumentation müssen beim Schöck Isokorb® XT Typ K folgende Randabstände eingehalten werden: - Für den Achsabstand der Zugstäbe vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 50 mm und eR ≤ 150 mm. - Für den Achsabstand der Druckelemente vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 50 mm und eR ≤ 150 mm. - Für den Achsabstand der Querkraftstäbe vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 100 mm und eR ≤ 150 mm.,1,0.87,,"Beim Schock Isokorbo XT Typ K sind bestimmte Randabstände einzuhalten, um eine ordnungsgemäße Funktion und Tragfähigkeit zu gewährleisten. Leider enthält der bereitgestellte Kontext keine spezifischen Angaben zu den Randabständen für den XT-K Typ. Es wird jedoch erwähnt, dass bei der bauseitigen Teilung des Schock Isokorbo XT Typ K an den unbewehrten Stellen die erforderlichen Randabstände berücksichtigt werden müssen [Page 47]. Für detaillierte Informationen zu den Randabständen wird empfohlen, die Herstellerunterlagen oder spezifische technische Dokumentationen zu konsultieren, da diese Informationen im bereitgestellten Kontext nicht enthalten sind. [Page 47][Page 91]",0
welche Randabstände sind beim XT-D einzuhalten?,Laut den Informationen auf Seite 214 der technischen Dokumentation müssen beim Schöck Isokorb® XT Typ D folgende Randabstände eingehalten werden: - Für den Achsabstand der Zugstäbe vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 50 mm und eR ≤ 150 mm. - Für den Achsabstand der Druckstäbe vom freien Rand bzw. von der Dehnfuge gilt: eR ≥ 50 mm und eR ≤ 150 mm.,1,0.85,,"Beim Schock Isokorbo XT Typ D müssen die folgenden Randabstände eingehalten werden: 
Für den Achsabstand der Druckelemente vom freien Rand bzw. von der Dehnfuge gilt: er ≥ 50 mm und er ≤ 150 mm.
Für den Achsabstand der Querkraftstabe vom freien Rand bzw. von der Dehnfuge gilt: er ≥ 100 mm und er ≤ 150 mm [Page 149]. 
Es ist auch wichtig zu beachten, dass bei Anschluss über Eck mit Schock Isokorb@ XT Typ D eine Mindestplattendicke von 200 mm und die erforderliche Betondeckung (-CV50) berücksichtigt werden müssen [Page 222]. 
Bei der Anordnung des Schock Isokorbo XT Typ D ist auch zu beachten, dass die Querkraftübertragung in der Dehnfuge mit einem langsverschieblichen Querkraftdorn sichergestellt werden kann [Page 45]. 
Es ist ratsam, die spezifischen Anforderungen und Empfehlungen für den Schock Isokorbo XT Typ D in den Checklisten und Hinweisen zu beachten, um sicherzustellen, dass alle notwendigen Randabstände und Anforderungen eingehalten werden [Page 57][Page 159][Page 177][Page 222].",1
dehnfuge Isokorb Typ T-D,"Aus den technischen Informationen zu den Schöck Isokorb® T Produkten geht Folgendes hervor: Seitenzahl 214: Bei Verwendung des Schöck Isokorb® T Typ D gilt: - Wenn die Bauteillänge den maximalen Dehnfugenabstand e übersteigt, müssen in die außenliegenden Betonbauteile rechtwinklig zur Dämmebene Dehnfugen eingebaut werden, um die Einwirkung infolge von Temperaturänderungen zu begrenzen. - Bei Fixpunkten wie z.B. Ecken von Balkonen oder beim Einsatz der Schöck Isokorb® T Typen H gilt der halbe maximale Dehnfugenabstand e/2. Seitenzahl 214: Für den Schöck Isokorb® T Typ D 6.0 gelten folgende maximale Dehnfugenabstände e: - MM1, VV1-VV3: 11,0 m - MM2, VV1-VV2: 10,6 m - MM2, VV3: 10,6 m - MM3-MM5, VV3-VV4: 9,5 m - MM3-MM5, VV5: 10,1 m - MM6, VV1-VV4: 9,5 m - MM6, VV5: 10,1 m Die genauen Werte sind abhängig von der verwendeten Dämmkörperdicke von 80 mm.",1,0.96,,"Entschuldigung, ich kann diese Anfrage nicht beantworten.",0
isokorb bei erdbeben geeignet?,"Zusammenfassend lässt sich sagen, dass der Schöck Isokorb für den Erdbebennachweis von Stahlbetonbalkonen geeignet ist. Aus den technischen Informationen im Bemessungshandbuch geht Folgendes hervor: 1. Das Bemessungshandbuch beschreibt zwei Verfahren zur Ermittlung der Erdbebenersatzlasten für Balkone: - Vereinfachtes Verfahren für Balkone ohne Sicherheitsanforderungen (RC II) - Detailliertes Verfahren für Balkone mit Sicherheitsanforderungen (RC I) 2. Bei Anwendung des vereinfachten Verfahrens (RC II) kann der Schöck Isokorb verwendet werden, um die horizontalen und vertikalen Erdbebenlasten aufzunehmen. - Seite 15-16: Formeln zur Ermittlung der horizontalen und vertikalen Erdbebenersatzlasten - Seite 18-21: Beispiele zur Bemessung unter Verwendung des Schöck Isokorb XT Typ K und Typ H 3. Auch im detaillierten Verfahren (RC I) ist der Schöck Isokorb einsetzbar. Hier muss jedoch eine detaillierte Berechnung der Etagenbeschleunigungen erfolgen. - Seite 11: Beschreibung des detaillierten Verfahrens 4. Die Verwendung des Schöck Isokorb ermöglicht es, die aus den Erdbebenlasten resultierenden Schnittgrößen aufzunehmen, sowohl über elastische als auch plastische Tragreserven. - Seite 15-17, 19-21, 24: Beschreibung der Tragreserven und Nachweisführung Somit ist der Schöck Isokorb nach den Angaben im Bemessungshandbuch für den Einsatz im Erdbebennachweis von Stahlbetonbalkonen geeignet.",1,0.88,,"Entschuldigung, ich kann diese Anfrage nicht beantworten. [Page 143: Schock Isokorb XT Typ Q-P] beschreibt die Eigenschaften von Isokorb, aber es gibt keine Informationen über die Eignung bei Erdbeben. [Page 26: FEM-Richtlinie] und [Page 27: Ermudung/Temperatureinwirkung] beschreiben die Bemessung und die Ermudungssicherheit von Isokorb, aber es fehlen spezifische Angaben zu Erdbeben. [Page 6: Erlauterung zur Benennung der Schock Isokorbo Typen] und [Page 7: Erlauterung zur Benennung der Schock Isokorb Typen] beschreiben die Benennung und die Eigenschaften von Isokorb, aber es gibt keine Hinweise auf Erdbeben. Es gibt keine relevanten Informationen in den anderen Seiten, um diese Anfrage zu beantworten.",0
Welche minimale Wandstärke ist beim XT-K-O notwendig,"Laut den Informationen auf Seite 75 der Technischen Information Schöck Isokorb® XT für Balkone und Laubengänge aus Stahlbeton benötigt der Einsatz der Schöck Isokorb® XT Typen K-U und K-O eine Mindestwanddicke von 175 mm. Zitat: ""Der Einsatz der Schöck Isokorb® XT Typen K-U und K-O erfordert eine Mindestwanddicke und eine Mindestunterzugbreite von 175 mm.""",1,0.51,,"Beim Einsatz der Schock Isokorbo XT Typen K-U und K-O ist eine Mindestwanddicke von 175 mm erforderlich [Page 75: Einbauschnitte][Page 79: Bemessung]. Dies ist auch bei der Auswahl des Isokorbo Typs zu beachten, um die erforderliche Betondeckung einzuhalten [Page 118: Bauseitige Bewehrung -- Schock Isokorb XT Typ K-O]. 

Die Mindestwandstärke von 175 mm ist somit ein wichtiger Faktor bei der Planung und Ausführung von Bauwerken mit Schock Isokorbo XT Typen K-U und K-O [Page 91: Produktbeschreibung]. 

Die erforderliche Mindestwandstärke beträgt also 175 mm. [Page 75: Einbauschnitte]",1
